index,similarity
30,0.9258922898506301
181,0.9059799791482396
186,0.9059045243649568
221,0.892190126750361
46,0.8888770583457819
59,0.880765814218597
232,0.8742449572001274
73,0.8648042625758212
65,0.8630384640686872
215,0.8622234633669043
47,0.8600553247701042
208,0.8575711161948397
35,0.8575577779975376
159,0.856297247347725
139,0.8550226310999178
136,0.8476064596758053
88,0.8448259218367478
123,0.8401649406106568
164,0.8385590843462425
183,0.8377287801525127
235,0.8376240820450902
224,0.8269839136040709
79,0.8251156306229228
179,0.8250070734216679
149,0.8248690191626356
103,0.8233151246283608
108,0.8231421336453527
31,0.8229120634569117
140,0.8205490042961365
160,0.8183171085278232
234,0.8181192864960976
17,0.8156404355720881
41,0.8145859786889189
126,0.8136897153241299
147,0.8110984904270611
223,0.8103845612519284
231,0.8103211032858504
114,0.8093158203317599
220,0.809079113361911
233,0.8090711165170982
146,0.8088129363770116
6,0.808588713534673
50,0.8083924645001184
110,0.8079922762020068
4,0.8077294408613569
109,0.8075308711078024
177,0.8067812638646061
172,0.8035108071467008
135,0.8007078379594481
74,0.7999741199750011
72,0.7960929614535722
230,0.7951104633633346
238,0.7948892849287942
87,0.794174760708217
194,0.7937419085053607
229,0.7930123707250124
101,0.7930059781954624
195,0.7925983315561461
93,0.7922343765049786
98,0.7912924444678369
190,0.7895467625075866
18,0.788995447527691
216,0.7875250620297649
64,0.7866453100323453
96,0.7861765933554856
214,0.7857225030856074
163,0.7853330657748021
66,0.7838788736017684
203,0.7838108033939806
191,0.7837324397873997
100,0.7837227411192557
122,0.7824306089419633
24,0.7823590506204467
132,0.7822433919534377
89,0.7812265094151001
34,0.7810575678771444
82,0.7808622693974508
8,0.7803898063316324
52,0.7798950711140189
205,0.7793352302140213
86,0.7787422939502662
242,0.7782360629438326
69,0.7775615531540301
185,0.776818673498582
180,0.7760643899571211
209,0.77531081183223
197,0.7749903750985251
84,0.7739980602299836
29,0.7730010832490019
124,0.7728572151886763
44,0.7708691769240932
145,0.770720226442144
112,0.7697293094243248
105,0.7678991063641174
48,0.7676166208513987
37,0.7668079824122715
94,0.7653528762274839
193,0.7650275664271833
239,0.7635663199601186
184,0.7614839081608107
131,0.7614775717059628
236,0.7607588393019591
113,0.7601191140883632
28,0.7592768595741582
53,0.7578114740815156
217,0.7573975349087481
161,0.7553675452822874
20,0.7544346198348828
240,0.7542721157053718
111,0.7517072537740714
63,0.7506230014031532
49,0.7505113575794669
62,0.7494826646680862
54,0.7494524889744827
226,0.7489257897997861
39,0.7486871464082424
99,0.7482334843320964
222,0.7464948414454268
75,0.7464327666785963
207,0.7453977780341166
206,0.7442110168116316
115,0.7435272336303371
91,0.742612920091743
154,0.7425103286816243
151,0.741857654905014
168,0.7395065857412124
38,0.7389816306880443
85,0.7387731833139015
134,0.7386310062350155
137,0.7379016368297371
97,0.7378034549344654
19,0.7367674217596627
92,0.7364912025910124
125,0.7362002578486321
219,0.7358636082253076
152,0.7357306286097932
175,0.7350284135301064
187,0.7338264333908744
166,0.7328819880494191
36,0.7326919527366749
167,0.7325137036989857
182,0.7319648248089771
130,0.731309331961348
196,0.730689827759595
21,0.7291612659908971
76,0.726650069791668
68,0.7261703622640466
141,0.7261320022506343
56,0.7244586162104084
165,0.7241168189084194
107,0.7226316667860868
106,0.7221932909467181
128,0.7214768184173816
70,0.7182759746135225
67,0.7177107088152547
32,0.7172962932876923
90,0.7168727549993315
77,0.7163182995376768
156,0.7162979029067758
143,0.7135888281604779
188,0.7099698589862353
162,0.7031424312277905
118,0.7004166603066706
104,0.6966104476207905
237,0.6774471220406122
45,0.6681953444901594
